UPRN,Postcode,"Service type","LSOA code","LSOA name","LA code","LA name"
CI_UPRN_172,BN17GF,Unclassified,E01016901,"Hollingbury and Stanmer E01016901",00ML,"Brighton and Hove"
CI_UPRN_173,BN17LA,Unclassified,E01016900,"Hollingbury and Stanmer E01016900",00ML,"Brighton and Hove"
CI_UPRN_174,BN18AS,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_175,BN18DA,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_176,BN18DA,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_177,BN18DD,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_178,BN18DD,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_179,BN18DD,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_180,BN18DJ,Unclassified,E01016926,"Patcham E01016926",00ML,"Brighton and Hove"
CI_UPRN_181,BN18HG,Unclassified,E01016930,"Patcham E01016930",00ML,"Brighton and Hove"
CI_UPRN_182,BN18LU,Unclassified,E01016927,"Patcham E01016927",00ML,"Brighton and Hove"
CI_UPRN_183,BN18LU,Unclassified,E01016927,"Patcham E01016927",00ML,"Brighton and Hove"
CI_UPRN_184,BN18PB,Unclassified,E01016929,"Patcham E01016929",00ML,"Brighton and Hove"
CI_UPRN_185,BN18QE,Unclassified,E01016924,"Patcham E01016924",00ML,"Brighton and Hove"
CI_UPRN_186,BN18QE,Unclassified,E01016924,"Patcham E01016924",00ML,"Brighton and Hove"
CI_UPRN_187,BN18TA,Unclassified,E01016929,"Patcham E01016929",00ML,"Brighton and Hove"
CI_UPRN_188,BN18TA,Unclassified,E01016929,"Patcham E01016929",00ML,"Brighton and Hove"
